# SPDX-License-Identifier: Apache-2.0
# pinned_petta_revision=6b7f52f064bdbc82fabd0a0998404121fb01d52e
# Every compiler-obligations.tsv FAIL row appears at least once; one obligation
# may have several uniquely keyed fixture scenarios. Outcomes are
# ordered lists after diffbench normalization; normalization can hide a
# presentation-only difference, which makes this gate fail closed by erasing
# a divergence rather than manufacturing one. Recorded error outcomes use
# stable classes, although their extraction necessarily recognizes selected
# native diagnostic text and a wording change therefore turns the gate red.
id	fixture	mode	native_kind	native_expect	pleatta_kind	pleatta_expect	note
APP.union	diffbench/probes/mismatch-union-unshaped.metta	characterization	ok	["((union 1 2))"]	ok	["((union 1 2))"]	unshaped source now follows ordinary application; independent rule open
APP.intersection	diffbench/probes/mismatch-intersection-unshaped.metta	characterization	ok	["((intersection 1 1))"]	ok	["((intersection 1 1))"]	unshaped source now follows ordinary application; independent rule open
APP.subtraction	diffbench/probes/mismatch-subtraction-unshaped.metta	characterization	ok	["((subtraction 1 2))"]	ok	["((subtraction 1 2))"]	unshaped source now follows ordinary application; independent rule open
APP.eval	diffbench/probes/mismatch-eval-precompiled-argument.metta	expected-divergence	ok	["(+ 1 2)"]	ok	["3"]	raw runtime eval versus precompiled quote
APP.reduce	diffbench/probes/mismatch-reduce-eval-alias.metta	expected-divergence	ok	["(quote 3)"]	ok	["3"]	nested-argument translation versus eval alias
APP.size_constraint_nonint	diffbench/probes/mismatch-size-constraint-nonint.metta	expected-divergence	ok	["false"]	error	size_nonliteral	generic native identity versus compiler rejection
APP.add_atom_rule	diffbench/probes/mismatch-add-rule-space-strict.metta	expected-divergence	error	raw_space_type_error	ok	["true","true","changed"]	evaluated space argument for a rule atom
APP.add_atom_other	diffbench/probes/mismatch-add-atom-space-strict.metta	expected-divergence	error	raw_space_type_error	ok	["true","true","changed"]	evaluated space argument for an ordinary atom
APP.remove_atom_rule	diffbench/probes/mismatch-remove-rule-space-strict.metta	expected-divergence	error	raw_space_type_error	ok	["true","true","true","changed"]	evaluated space argument for a rule removal
APP.remove_atom_other	diffbench/probes/mismatch-remove-atom-space-strict.metta	expected-divergence	error	raw_space_type_error	ok	["true","true","true","changed"]	evaluated space argument for an ordinary removal
APP.bind_new_state	diffbench/probes/characterize-bind-new-state-hook.metta	characterization	ok	["true","true","initial"]	ok	["true","true","initial"]	reachable registration of the existing static hook agrees; no divergence claimed
DESUGAR.lambda_list	diffbench/probes/mismatch-lambda-list-hook.metta	expected-divergence	ok	["true","(hooked-lambda 2)"]	ok	["true","7"]	hook priority versus list-parameter closure conversion
DESUGAR.lambda_var	diffbench/probes/mismatch-lambda-var-hook.metta	expected-divergence	ok	["true","(hooked-lambda 2)"]	ok	["true","7"]	hook priority versus variable-parameter closure conversion
APP.partial_apply	diffbench/probes/characterize-captured-partial-application.metta	characterization	ok	["(partial pair (42))","(42 43)","((partial pair (42)) 43)"]	ok	["(partial pair (42))","(42 43)","((partial pair (42)) 43)"]	a legitimate partial remains observable, a captured partial applies bound arguments before new arguments, and source-written partial syntax remains ordinary data
APP.Predicate	diffbench/probes/characterize-predicate-ground.metta	characterization	ok	["(probe value)"]	ok	["(probe value)"]	positive-arity Predicate conversion erases only its private runtime provenance at observation
APP.Predicate	diffbench/probes/characterize-predicate-partial-functor.metta	characterization	ok	["(partial f ())"]	ok	["(partial f ())"]	ordinary =../2 partial/2 and the private partial-value encoding intentionally share one canonical observation
APP.Predicate	diffbench/probes/characterize-predicate-nullary.metta	characterization	ok	["probe"]	ok	["probe"]	singleton =../2 list constructs an atom rather than a zero-child compound
APP.Predicate	diffbench/probes/mismatch-predicate-empty.metta	characterization	ok	[]	ok	[]	empty input fails the Predicate clause without raising an exception
APP.Predicate	diffbench/probes/characterize-predicate-evaluated-tail.metta	characterization	ok	["(probe 3)"]	ok	["(probe 3)"]	untyped argument position evaluates nested tail content before =../2 conversion
APP.Predicate	diffbench/probes/characterize-predicate-expression-tail.metta	characterization	ok	["(probe (+ 1 2))"]	ok	["(probe (+ 1 2))"]	Expression declaration preserves nested tail syntax before =../2 conversion
APP.Predicate	diffbench/probes/characterize-predicate-bound-head.metta	characterization	ok	["(probe value)"]	ok	["(probe value)"]	runtime substitution reaches the non-strict Predicate payload before functor inspection
APP.Predicate	diffbench/probes/characterize-predicate-caught-open-head.metta	characterization	ok	["(Error instantiation_error)"]	ok	["(Error instantiation_error)"]	open functor raises the structured catchable =../2 instantiation error
APP.Predicate	diffbench/probes/characterize-predicate-caught-nonatom-head.metta	characterization	ok	["(Error type_error)"]	ok	["(Error type_error)"]	non-atom functor raises the distinct structured catchable type error
APP.Predicate	diffbench/probes/characterize-predicate-sibling-order.metta	characterization	ok	["((a b) (c d))"]	ok	["((a b) (c d))"]	two sibling conversions preserve left-to-right staging and result order
PROGRAM.static_predicate_redefinition	diffbench/probes/characterize-predicate-shadowing.metta	expected-divergence	error	runner_error_2	ok	["(probe value)"]	pinned SWI rejects assertion into static Predicate/2 while PLeaTTa accepts the definition event and retains builtin dispatch
PROGRAM.static_predicate_redefinition	diffbench/probes/mismatch-static-builtin-shadowing.metta	expected-divergence	error	runner_error_2	ok	["custom"]	pinned SWI rejects assertion into static car-atom/2 while PLeaTTa accepts the definition event and lets the source clause shadow ordinary builtin dispatch
DESUGAR.map5	diffbench/probes/mismatch-map-binder-hook.metta	expected-divergence	ok	["true","hooked-map"]	ok	["true","(7 7)"]	hook priority versus map binder lowering
DESUGAR.filter5	diffbench/probes/mismatch-filter-binder-hook.metta	expected-divergence	ok	["true","hooked-filter"]	ok	["true","(1 2)"]	hook priority versus filter binder lowering
DESUGAR.foldl5	diffbench/probes/mismatch-foldl-binder-hook.metta	expected-divergence	ok	["true","hooked-foldl"]	ok	["true","7"]	hook priority versus foldl binder lowering
DESUGAR.expression_walk	diffbench/probes/mismatch-desugar-expression-walk.metta	expected-divergence	ok	["(|-> ($v1) 7)"]	ok	["#lamN"]	recursive walk crosses two ordinary data heads
PROGRAM.static_predesugar	diffbench/probes/mismatch-program-static-predesugar.metta	expected-divergence	ok	["(|-> ($v1) 7)"]	ok	["#lamN"]	static source is rewritten before partition and compilation
PROGRAM.static_split_bang	diffbench/probes/characterize-captured-partial-application.metta	characterization	ok	["(partial pair (42))","(42 43)","((partial pair (42)) 43)"]	ok	["(partial pair (42))","(42 43)","((partial pair (42)) 43)"]	generated captured-lambda definitions are installed before the adjacent marker/query pair executes
SEQ.normalize_atom	diffbench/probes/mismatch-sequential-normalize-atom.metta	expected-divergence	ok	["true","(|-> ($v1) 7)"]	ok	["true","#lamN"]	sequential add-atom payload is normalized before execution
MISS.sealed	diffbench/probes/mismatch-sealed-missing.metta	expected-divergence	ok	["3"]	ok	["(sealed () 3)"]	pinned sealed evaluation versus missing translation
MISS.dynamic_lambda_eval	diffbench/probes/mismatch-dynamic-lambda-eval.metta	expected-divergence	ok	["true","3"]	ok	["true"]	runtime sread reveals a lambda after the source prepass
